collection,surface,required,relations,notion_database,sheets_tab,notes
household,Household,"id, collection, title, status, food_detail_json, relations_json, source snapshot",household.has_member->member; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Household,Household,Generated from Food manifest and LifeOS data-plane template
member,Household,"id, collection, title, status, food_detail_json, relations_json, source snapshot",household.has_member->member; member.has_preference->preference; member.has_goal->nutrition_goal; meal_consumption.eaten_by->member; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Household,Household,Generated from Food manifest and LifeOS data-plane template
food_item,Kitchen,"id, collection, title, status, food_detail_json, relations_json, source snapshot",food_item.shaped_by->preference; product.packages->food_item; inventory.tracks->food_item; inventory_lot.stores->food_item; ingredient.matches_food->food_item; shopping_item.buys_food->food_item; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Kitchen,Kitchen,Generated from Food manifest and LifeOS data-plane template
product,Kitchen,"id, collection, title, status, food_detail_json, relations_json, source snapshot",product.packages->food_item; product.has_label_nutrition->nutrition_profile; inventory_lot.from_product->product; purchase_line.bought_product->product; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Kitchen,Kitchen,Generated from Food manifest and LifeOS data-plane template
inventory,Kitchen,"id, collection, title, status, food_detail_json, relations_json, source snapshot",inventory.tracks->food_item; inventory.represents->ingredient; shopping_item.restocks->inventory; purchase_line.adds->inventory; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Kitchen,Kitchen,Generated from Food manifest and LifeOS data-plane template
inventory_lot,Kitchen,"id, collection, title, status, food_detail_json, relations_json, source snapshot",inventory_lot.stores->food_item; inventory_lot.from_product->product; inventory_lot.acquired_from->purchase_line; inventory_movement.moves->inventory_lot; purchase_line.creates_lot->inventory_lot; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Kitchen,Kitchen,Generated from Food manifest and LifeOS data-plane template
inventory_movement,Kitchen / Purchases,"id, collection, title, status, food_detail_json, relations_json, source snapshot",inventory_movement.moves->inventory_lot; inventory_movement.caused_by_meal->meal_log; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Kitchen; Purchases,Kitchen,Generated from Food manifest and LifeOS data-plane template
ingredient,Kitchen,"id, collection, title, status, food_detail_json, relations_json, source snapshot",inventory.represents->ingredient; ingredient.matches_food->food_item; recipe.uses->ingredient; shopping_demand.from_ingredient->ingredient; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Kitchen,Kitchen,Generated from Food manifest and LifeOS data-plane template
recipe,Recipes,"id, collection, title, status, food_detail_json, relations_json, source snapshot",recipe.uses->ingredient; recipe.has_revision->recipe_revision; recipe.has_step->recipe_step; recipe.uses_tool->recipe_tool; recipe.has_nutrition->nutrition_profile; meal_template.templates->recipe; meal_plan.plans->recipe; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Recipes,Recipes,Generated from Food manifest and LifeOS data-plane template
recipe_revision,Recipes,"id, collection, title, status, food_detail_json, relations_json, source snapshot",recipe.has_revision->recipe_revision; recipe_revision.contains_step->recipe_step; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Recipes,Recipes,Generated from Food manifest and LifeOS data-plane template
recipe_step,Recipes,"id, collection, title, status, food_detail_json, relations_json, source snapshot",recipe_revision.contains_step->recipe_step; recipe.has_step->recipe_step; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Recipes,Recipes,Generated from Food manifest and LifeOS data-plane template
recipe_tool,Recipes,"id, collection, title, status, food_detail_json, relations_json, source snapshot",recipe.uses_tool->recipe_tool; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Recipes,Recipes,Generated from Food manifest and LifeOS data-plane template
meal_template,Meals,"id, collection, title, status, food_detail_json, relations_json, source snapshot",meal_template.templates->recipe; meal_plan.uses_template->meal_template; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Meals,Meals,Generated from Food manifest and LifeOS data-plane template
meal_plan,Meals,"id, collection, title, status, food_detail_json, relations_json, source snapshot",meal_plan.plans->recipe; meal_plan.uses_template->meal_template; meal_log.completes->meal_plan; shopping_list.supports_plan->meal_plan; shopping_demand.from_plan->meal_plan; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Meals,Meals,Generated from Food manifest and LifeOS data-plane template
meal_log,Meals,"id, collection, title, status, food_detail_json, relations_json, source snapshot",inventory_movement.caused_by_meal->meal_log; meal_log.completes->meal_plan; meal_consumption.portion_of->meal_log; nutrition_observation.describes->meal_log; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Meals,Meals,Generated from Food manifest and LifeOS data-plane template
meal_consumption,Meals,"id, collection, title, status, food_detail_json, relations_json, source snapshot",meal_consumption.portion_of->meal_log; meal_consumption.eaten_by->member; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Meals,Meals,Generated from Food manifest and LifeOS data-plane template
shopping_list,Shopping,"id, collection, title, status, food_detail_json, relations_json, source snapshot",shopping_list.supports_plan->meal_plan; shopping_item.belongs_to->shopping_list; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Shopping,Shopping,Generated from Food manifest and LifeOS data-plane template
shopping_item,Shopping,"id, collection, title, status, food_detail_json, relations_json, source snapshot",shopping_item.belongs_to->shopping_list; shopping_item.restocks->inventory; shopping_item.buys_food->food_item; shopping_demand.explains->shopping_item; purchase_line.fulfills->shopping_item; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Shopping,Shopping,Generated from Food manifest and LifeOS data-plane template
shopping_demand,Shopping,"id, collection, title, status, food_detail_json, relations_json, source snapshot",shopping_demand.explains->shopping_item; shopping_demand.from_ingredient->ingredient; shopping_demand.from_plan->meal_plan; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Shopping,Shopping,Generated from Food manifest and LifeOS data-plane template
purchase,Purchases,"id, collection, title, status, food_detail_json, relations_json, source snapshot",purchase_line.part_of->purchase; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Purchases,Purchases,Generated from Food manifest and LifeOS data-plane template
purchase_line,Kitchen / Shopping / Purchases,"id, collection, title, status, food_detail_json, relations_json, source snapshot",inventory_lot.acquired_from->purchase_line; purchase_line.fulfills->shopping_item; purchase_line.adds->inventory; purchase_line.creates_lot->inventory_lot; purchase_line.bought_product->product; purchase_line.part_of->purchase; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Kitchen; Shopping; Purchases,Purchases,Generated from Food manifest and LifeOS data-plane template
store,Shopping,"id, collection, title, status, food_detail_json, relations_json, source snapshot",attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Shopping,Shopping,Generated from Food manifest and LifeOS data-plane template
preference,Household,"id, collection, title, status, food_detail_json, relations_json, source snapshot",member.has_preference->preference; food_item.shaped_by->preference; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Household,Household,Generated from Food manifest and LifeOS data-plane template
nutrition_goal,Household,"id, collection, title, status, food_detail_json, relations_json, source snapshot",member.has_goal->nutrition_goal; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Household,Household,Generated from Food manifest and LifeOS data-plane template
nutrition_profile,Recipes,"id, collection, title, status, food_detail_json, relations_json, source snapshot",product.has_label_nutrition->nutrition_profile; recipe.has_nutrition->nutrition_profile; nutrition_observation.uses_profile->nutrition_profile; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Recipes,Recipes,Generated from Food manifest and LifeOS data-plane template
nutrition_observation,Meals,"id, collection, title, status, food_detail_json, relations_json, source snapshot",nutrition_observation.describes->meal_log; nutrition_observation.uses_profile->nutrition_profile; attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Meals,Meals,Generated from Food manifest and LifeOS data-plane template
attachment,Purchases,"id, collection, title, status, food_detail_json, relations_json, source snapshot",attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Purchases,Purchases,Generated from Food manifest and LifeOS data-plane template
audit_event,Sources and audit,"id, collection, title, status, food_detail_json, relations_json, source snapshot",attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Sources and audit,Sources,Generated from Food manifest and LifeOS data-plane template
source_record,Sources and audit,"id, collection, title, status, food_detail_json, relations_json, source snapshot",attachment.attached_to->*; audit_event.records_change->*; source_record.supports->*,Sources and audit,Sources,Generated from Food manifest and LifeOS data-plane template
